filename,time_start,time_end,pixel_count,valid,invalid,min,max,mean,median,std,pixel_value
GS202001_CHL_TB_month.nc,20200101T000000Z,20200131T000000Z,25,25,0,1.256692,2.356800,1.863711,2.049600,1.235028,2.148800
GS202002_CHL_TB_month.nc,20200201T000000Z,20200229T000000Z,25,25,0,1.146904,1.614685,1.336149,1.339707,1.101833,1.501985
GS202003_CHL_TB_month.nc,20200301T022907Z,20200331T015926Z,25,25,0,1.105601,1.407318,1.243662,1.241024,1.051007,1.232493
GS202004_CHL_TB_month.nc,20200401T000000Z,20200430T000000Z,25,25,0,1.456838,2.655163,1.743926,1.672628,1.147138,1.672628
GS202005_CHL_TB_month.nc,20200501T000000Z,20200531T000000Z,25,25,0,0.806655,1.146804,1.008699,1.025631,1.090664,1.021939
GS202006_CHL_TB_month.nc,20200601T000000Z,20200630T000000Z,25,25,0,2.998447,6.383039,3.699990,3.502832,1.200608,3.708431
GS202007_CHL_TB_month.nc,20200701T020837Z,20200731T021355Z,25,25,0,3.038400,7.108799,5.673278,6.107200,1.217933,6.393600
GS202008_CHL_TB_month.nc,20200801T014710Z,20200831T015224Z,25,25,0,1.052379,1.597700,1.191188,1.188092,1.076183,1.205667
GS202009_CHL_TB_month.nc,20200901T015918Z,20200930T015732Z,25,25,0,1.312052,6.704495,2.634364,2.293229,1.466066,2.156018
GS202010_CHL_TB_month.nc,20201001T020426Z,20201031T013551Z,25,25,0,0.765807,1.044894,0.958000,0.989837,1.080136,0.980657
GS202011_CHL_TB_month.nc,20201101T023906Z,20201130T014105Z,25,25,0,0.965318,1.357306,1.177174,1.192849,1.103670,1.340475
GS202012_CHL_TB_month.nc,20201201T024425Z,20201231T023405Z,25,24,1,0.519199,1.822400,0.819537,0.856765,1.286651,1.822400
