filename,time_start,time_end,pixel_count,valid,invalid,min,max,mean,median,std
GS202001_CHL_TB_month.nc,20200101T000000Z,20200131T000000Z,4620,3809,811,0.120000,17.545597,0.812540,0.699198,1.563392
GS202002_CHL_TB_month.nc,20200201T000000Z,20200229T000000Z,4620,4619,1,0.070545,3.443531,0.691067,0.627579,1.325931
GS202003_CHL_TB_month.nc,20200301T022907Z,20200331T015926Z,4620,4620,0,0.262096,2.484612,0.822604,0.750858,1.344133
GS202004_CHL_TB_month.nc,20200401T000000Z,20200430T000000Z,4620,4620,0,0.161068,6.729978,1.152993,1.057710,1.454290
GS202005_CHL_TB_month.nc,20200501T000000Z,20200531T000000Z,4620,4620,0,0.255863,1.814776,0.596723,0.577854,1.205143
GS202006_CHL_TB_month.nc,20200601T000000Z,20200630T000000Z,4620,4620,0,0.057778,5.141714,0.674406,0.549511,1.705727
GS202007_CHL_TB_month.nc,20200701T020837Z,20200731T021355Z,4620,3869,751,0.220800,104.854416,2.802929,2.603200,2.416008
GS202008_CHL_TB_month.nc,20200801T014710Z,20200831T015224Z,4620,4620,0,0.237790,1.571160,0.509502,0.484976,1.523111
GS202009_CHL_TB_month.nc,20200901T015918Z,20200930T015732Z,4620,4620,0,0.126710,4.201551,0.610277,0.601462,2.075344
GS202010_CHL_TB_month.nc,20201001T020426Z,20201031T013551Z,4620,4620,0,0.119314,1.782446,0.444584,0.383448,1.556200
GS202011_CHL_TB_month.nc,20201101T023906Z,20201130T014105Z,4620,4620,0,0.283369,4.435139,0.627106,0.527365,1.498511
GS202012_CHL_TB_month.nc,20201201T024425Z,20201231T023405Z,4620,3798,822,0.004800,104.854416,0.620978,0.443839,2.952360
